Periodo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Chiapas ",4.925262718,4.521712388,4.265438073,4.22326969,4.172960926,4.10331917,4.205909679,4.253311325,4.430628846,4.119244528,4.065734268,3.743086613,3.642401359,3.617385023,3.285712798,3.250052396
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Chihuahua ",4.796017754,4.882758422,5.099747164,5.299391506,5.416840754,5.046416077,5.317786197,5.579951668,5.416848988,5.159988302,5.701359404,5.84701166,6.036404004,5.377325637,5.990060736,6.035333577
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Ciudad de M�xico ",0.33985626,0.299194248,0.341546489,0.280893164,0.265775888,0.250571387,0.275638171,0.265554285,0.291250144,0.268755597,0.234059829,0.22935125,0.219567922,0.218304723,0.197464461,0.20138432
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Durango ",3.926642467,3.959272257,3.604143272,3.825916214,3.585739149,3.603680513,3.791746351,3.571140635,3.428254307,3.634183753,3.681987715,3.639373563,3.478247986,3.561366408,3.453224882,3.302270139
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Guanajuato ",4.886600685,5.10971469,4.752076837,4.34920004,4.518768708,4.626367119,4.756530144,4.520620013,4.727707868,4.379576163,4.601132291,4.485142483,4.266799042,4.232736484,4.339472575,4.439079644
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Guerrero ",2.465415734,2.29300256,2.46211504,2.460457248,2.378706156,2.469539014,2.438074553,2.536840483,2.614878411,2.367775333,2.137704289,2.29805498,2.116012943,2.268599807,2.269828537,2.209314877
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Hidalgo ",2.252219067,2.198771717,2.259818769,2.345113363,2.191936647,2.240568977,2.120610813,2.111364769,1.925056802,2.083454655,2.096499229,2.026902246,1.948495797,1.883071472,1.803294103,1.753360279
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Jalisco ",10.16165461,10.6873597,10.62795197,10.72496693,10.90537819,10.92421495,10.67697499,11.43416346,11.22160431,11.51404814,11.24999258,11.51256227,11.51701713,11.34956351,11.64241924,11.8117155
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria M�xico ",4.380305097,4.461210031,4.055214159,4.153260936,4.581591631,4.231534982,3.691957439,3.919013793,3.458072373,3.927908343,3.895835203,3.928917147,3.952880978,4.071872366,3.900193797,3.411767431
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Michoac�n de Ocampo ",7.363838591,6.778704079,6.869998516,7.382717326,7.407957245,7.955187342,7.553040504,6.951178294,8.113940853,7.569472247,7.738890216,8.273809191,7.914332839,8.916113404,9.224007479,9.364731974
